timestamp,building_zone,hour_of_day,day_of_week,power_kw,temperature_c,occupancy
2026-06-01 00:00,Lab-A,0,0,18.69,9.6,3.0
2026-06-01 00:00,Lab-B,0,0,14.76,11.0,4.0
2026-06-01 00:00,Office,0,0,10.02,9.7,3.0
2026-06-01 00:00,Cafeteria,0,0,11.34,7.5,2.0
2026-06-01 00:00,Server-Room,0,0,46.86,9.3,4.0
2026-06-01 00:00,Gym,0,0,5.02,9.0,0.0
2026-06-01 01:00,Lab-A,1,0,18.59,10.4,4.0
2026-06-01 01:00,Lab-B,1,0,12.93,13.0,5.0
2026-06-01 01:00,Office,1,0,8.03,8.5,1.0
2026-06-01 01:00,Cafeteria,1,0,12.21,11.0,4.0
2026-06-01 01:00,Server-Room,1,0,45.34,9.8,3.0
2026-06-01 01:00,Gym,1,0,6.82,10.0,4.0
2026-06-01 02:00,Lab-A,2,0,15.64,11.2,1.0
2026-06-01 02:00,Lab-B,2,0,12.06,10.4,0.0
2026-06-01 02:00,Office,2,0,8.04,10.1,4.0
2026-06-01 02:00,Cafeteria,2,0,10.52,8.8,3.0
2026-06-01 02:00,Server-Room,2,0,45.92,12.1,2.0
2026-06-01 02:00,Gym,2,0,8.99,14.2,5.0
2026-06-01 03:00,Lab-A,3,0,12.44,10.4,1.0
2026-06-01 03:00,Lab-B,3,0,12.43,10.2,0.0
2026-06-01 03:00,Office,3,0,7.34,9.0,2.0
2026-06-01 03:00,Cafeteria,3,0,8.5,13.5,3.0
2026-06-01 03:00,Server-Room,3,0,43.94,12.9,0.0
2026-06-01 03:00,Gym,3,0,3.17,12.1,0.0
2026-06-01 04:00,Lab-A,4,0,13.7,17.6,0.0
2026-06-01 04:00,Lab-B,4,0,12.65,14.9,0.0
2026-06-01 04:00,Office,4,0,10.6,14.7,3.0
2026-06-01 04:00,Cafeteria,4,0,8.75,10.7,1.0
2026-06-01 04:00,Server-Room,4,0,44.65,14.0,4.0
2026-06-01 04:00,Gym,4,0,4.04,14.2,0.0
2026-06-01 05:00,Lab-A,5,0,17.07,13.8,5.0
2026-06-01 05:00,Lab-B,5,0,12.82,,0.0
2026-06-01 05:00,Office,5,0,8.84,13.7,3.0
2026-06-01 05:00,Cafeteria,5,0,11.18,17.6,4.0
2026-06-01 05:00,Server-Room,5,0,44.51,17.5,2.0
2026-06-01 05:00,Gym,5,0,5.32,16.8,2.0
2026-06-01 06:00,Lab-A,6,0,17.52,15.8,5.0
2026-06-01 06:00,Lab-B,6,0,15.08,18.1,4.0
2026-06-01 06:00,Office,6,0,5.49,18.3,3.0
2026-06-01 06:00,Cafeteria,6,0,11.87,17.0,2.0
2026-06-01 06:00,Server-Room,6,0,45.9,18.4,3.0
2026-06-01 06:00,Gym,6,0,5.57,16.5,2.0
2026-06-01 07:00,Lab-A,7,0,17.7,24.4,2.0
2026-06-01 07:00,Lab-B,7,0,12.05,20.3,1.0
2026-06-01 07:00,Office,7,0,6.48,21.5,5.0
2026-06-01 07:00,Cafeteria,7,0,10.01,16.9,4.0
2026-06-01 07:00,Server-Room,7,0,46.23,21.5,1.0
2026-06-01 07:00,Gym,7,0,7.4,21.0,1.0
2026-06-01 08:00,Lab-A,8,0,23.96,22.3,20.0
2026-06-01 08:00,Lab-B,8,0,14.17,20.2,10.0
2026-06-01 08:00,Office,8,0,11.01,21.8,18.0
2026-06-01 08:00,Cafeteria,8,0,24.02,23.3,35.0
2026-06-01 08:00,Server-Room,8,0,42.95,21.2,2.0
2026-06-01 08:00,Gym,8,0,8.59,21.0,11.0
2026-06-01 09:00,Lab-A,9,0,25.62,24.1,29.0
2026-06-01 09:00,Lab-B,9,0,22.14,22.1,26.0
2026-06-01 09:00,Office,9,0,18.82,24.3,31.0
2026-06-01 09:00,Cafeteria,9,0,14.06,23.6,19.0
2026-06-01 09:00,Server-Room,9,0,43.58,22.2,0.0
2026-06-01 09:00,Gym,9,0,10.01,23.5,8.0
2026-06-01 10:00,Lab-A,10,0,27.53,,39.0
2026-06-01 10:00,Lab-B,10,0,22.9,26.2,19.0
2026-06-01 10:00,Office,10,0,20.87,27.4,30.0
2026-06-01 10:00,Cafeteria,10,0,25.4,26.3,37.0
2026-06-01 10:00,Server-Room,10,0,49.35,25.7,1.0
2026-06-01 10:00,Gym,10,0,18.29,24.5,35.0
2026-06-01 11:00,Lab-A,11,0,28.39,25.6,30.0
2026-06-01 11:00,Lab-B,11,0,23.86,25.8,32.0
2026-06-01 11:00,Office,11,0,14.18,24.7,13.0
